coord x, coord y, speed, power
19, 11, 5.469269,2.908380
10, 16, 5.079884,2.330370
38, 47, 4.631324,1.765952
22, 15, 4.352696,1.466015
43, 45, 4.282080,1.395814
6, 2, 4.257262,1.371685
